"","dataset","model","fog","program","delta_AICc","tip_fog_as_fraction_trait_mean","tip_variance_divided_by_tree_plus_tip_variance","sigma.sq","sigma.sq.me","other_param","ntax","treeheight"
"23","AlencarEtAl_log_svl","OU","none","geiger",109.133453634073,0,0,0.00445122026407837,0,0.0146877665328545,596,83.4922160045
"24","AlencarEtAl_log_svl","OU","estimate","geiger",109.133453634073,0,0,0.00445122026407837,0,0.0146877665328545,596,83.4922160045
"25","AlencarEtAl_log_svl","OU1","none","ouwie",109.133453773412,0,NA,0.00445126969450648,0,NA,596,83.4922160045
"26","AlencarEtAl_log_svl","delta","none","geiger",122.448226068035,0,0,0.00181232834869449,0,2.27435979325369,596,83.4922160045
"27","AlencarEtAl_log_svl","BM1","none","ouwie",141.632869785396,0,NA,0.00358553249352149,0,NA,596,83.4922160045
"28","AlencarEtAl_log_svl","BM","none","geiger",141.632895596079,0,0,0.00358544415757052,0,NA,596,83.4922160045
"29","AlencarEtAl_log_svl","EB","none","geiger",143.655435700962,0,0,0.00358572207856829,0,-1e-06,596,83.4922160045
"30","AlencarEtAl_log_svl","white","only","geiger",908.748769691953,0.104629098053275,1,0,0.194451297966218,NA,596,83.4922160045
"31","AlencarEtAl_log_tempK","kappa","estimate","geiger",0,0.0142469864499523,0.955509775867196,2.74952406310121e-05,0.00654112126560797,2.95734296276946e-200,663,83.4922160045
"32","AlencarEtAl_log_tempK","BM","estimate","geiger",17.6845067148838,0.0154703098925625,0.971150916783326,3.1585408043874e-06,0.00771266032158494,NA,663,83.4922160045
"33","AlencarEtAl_log_tempK","BM1","estimate","ouwie",17.6849433737193,0.00135863264524892,NA,3.15835630037207e-06,5.94853839782628e-05,NA,663,83.4922160045
"34","AlencarEtAl_log_tempK","EB","estimate","geiger",19.6969593773788,0.0154924487457765,0.970749960041976,3.36047054514764e-06,0.00773475058762418,-0.0010008945512019,663,83.4922160045
"35","AlencarEtAl_log_tempK","delta","estimate","geiger",19.7066674015373,0.0154766815531668,0.97092896022727,3.19506657611728e-06,0.00771901476105845,0.982714859316091,663,83.4922160045
"36","AlencarEtAl_log_tempK","OU1","estimate","ouwie",19.7088783353452,0.00135851290852551,NA,3.15887684266241e-06,5.94748995089906e-05,NA,663,83.4922160045
"37","AlencarEtAl_log_tempK","kappa","none","geiger",26.4356613932782,0,0,4.51951262542175e-05,0,0.0924930850858302,663,83.4922160045
"38","AlencarEtAl_log_tempK","OU","none","geiger",164.521424720707,0,0,2.1685596336742e-05,0,0.039729650720448,663,83.4922160045
"39","AlencarEtAl_log_tempK","OU","estimate","geiger",164.521424720707,0,0,2.1685596336742e-05,0,0.039729650720448,663,83.4922160045
"40","AlencarEtAl_log_tempK","OU1","none","ouwie",164.521976386844,0,NA,2.1673540853848e-05,0,NA,663,83.4922160045
"41","AlencarEtAl_log_tempK","delta","none","geiger",232.620760904026,0,0,5.37909000303211e-06,0,2.99999892847445,663,83.4922160045
"42","AlencarEtAl_log_tempK","BM","none","geiger",322.914203234207,0,0,1.42929088094251e-05,0,NA,663,83.4922160045
